words,¿â´æ,¹ÉÆ±
succeeded,2,1
40-day,2,1
carter,2,1
servicemen,2,1
post-sale,2,1
vehicles,3,1
4,2,5
fitting,2,1
sells,2,4
released,2,2
copies,3,1
operate,2,3
sap,5,1
ect,2,1
switch,2,1
relevant,4,5
works,2,5
standards,2,2
apparel,10,1
end-users,2,1
reluctant,2,1
limit,2,4
somewhat,2,2
target,5,3
formally,2,1
qty,3,1
overseeing,2,1
quantitative,2,1
reference,2,2
randomicity,2,1
conception,3,1
resolution,2,1
administration,2,1
first-class,2,1
secondly,3,1
introduce,2,2
classic,2,1
sensitivity,2,1
discussed,2,3
chemicals,2,1
specializing,2,1
plush,2,1
toys,2,1
new-version,2,1
license,3,1
issuance,3,3
previously,2,3
bought,2,17
re-issued,2,1
sensor,2,1
optimises,2,1
forecasts,3,3
chinese,3,23
acres,2,1
brewing,2,1
alcohol,2,1
15000,2,1
tons,3,1
verify,3,2
conform,2,1
mingxizhang,2,1
pipeline,3,1
restaurant,2,1
checklist,2,1
depends,2,3
how,8,14
fast,3,2
zhe,2,1
filled,2,1
month-end,3,1
stock-take,3,1
rid,2,2
projects,6,1
fixed,2,4
asset,2,4
appointment,2,1
scheduled,2,1
government,2,11
emergency,3,1
against,3,3
centers,2,1
school's,2,1
elementary,2,1
knowledge,5,4
minisculely,2,1
words,3,4
japan's,2,3
productive,2,1
declining,3,2
allocate,2,1
iii,2,1
carried,2,1
brought,3,3
scheme,2,1
resolved,2,2
valuation,3,7
taken,4,2
whichever,2,1
non-localized,2,1
hq,2,1
compliance,2,1
reconcile,2,1
reverse,4,2
return-rate,2,1
large-stock,2,1
bothered,2,1
book-issues,2,1
bm,2,1
arrangement,2,2
vintage,2,1
engineer,2,1
release,4,2
pendred,2,1
background,2,3
detect,3,1
deterioration,4,1
assessed,3,1
intervals,3,1
centres,2,1
animal,4,1
primary,2,2
literature,2,1
genome,2,1
databases,2,2
cambridge,2,1
ma,2,1
subcontracted,2,1
baan,2,1
coverage,3,1
usually,3,16
cleared,2,1
cheaper,2,1
submit,2,1
ty,2,1
retire,2,1
initial,2,4
stock-run,2,1
existed,2,1
prized,2,1
possessions,2,1
towers,2,1
pounds,2,1
shelf,3,1
space,4,2
ease,2,1
access,2,5
job,4,9
calculates,2,1
percent,3,11
holds,2,2
wholesaler,2,1
sees,2,1
growth,2,14
scared,2,1
outs,3,1
watches,2,1
watchmaker,2,1
grocery,2,1
store's,2,1
modify,3,1
2008,2,3
inquired,2,1
equivalent,2,1
adequate,4,1
demands,2,1
preceding,2,1
processes,3,1
idle,2,1
best,2,8
contacts,2,1
liable,2,1
160,2,1
ipads,3,1
mgr,2,1
supervisor,2,1
article,2,3
think,4,14
southern,2,1
driving,2,1
toward,2,3
appalachian,2,1
understand,2,5
correct,2,2
inerrorformation,2,1
effectivce,2,1
monday,3,5
night,2,1
30,2,3
devices,2,1
sunday,2,2
ideal,2,1
weighted,2,2
moving,3,1
first-in,2,1
first-out,2,1
thing,3,4
item's,2,1
title,2,1
proprietary,2,1
molds,2,1
maintaining,2,2
earliest,2,2
what's,2,2
allocated,2,1
futures,2,8
developed,2,5
deteriorating,3,1
stock-out,2,1
logging,2,1
positions,3,4
tooling,2,1
decrease,3,2
you'll,2,3
eis2,2,1
desired,3,1
metal,7,2
aiguilles,2,1
blades,2,1
plenty,2,1
of'em,2,1
why,2,9
bangladesh,2,1
dorsa,2,1
fm,2,1
abroad,2,3
n,2,1
outgo,2,1
clean,3,2
wrap,2,1
rearrange,2,1
air,7,5
oversized,2,1
b,2,3
wouldn't,2,2
leftover,2,1
specialty,2,1
motor,2,1
accessories,3,1
clients,2,3
vip,2,1
recruit,2,1
probably,2,6
widely,2,5
make-to-stock,2,1
address,3,2
extracted,2,1
brings,2,1
abc,2,1
motors,2,2
incl,2,1
plaston,2,1
contract,2,1
liquor,2,1
off,2,15
volkswagens,2,1
bmws,2,1
mercedes-benz,2,1
every,5,11
tell,2,7
holidays,2,1
they're,2,4
assume,2,3
deplete,2,1
po,4,1
staple,2,1
pos,2,1
dc,2,1
teams,2,1
curiosity,2,1
fault,2,1
restricted,2,8
leave,2,6
phone,2,2
db2,2,1
extract,2,1
keys,2,1
kindly,2,2
attention,2,2
unusual,2,2
subject,3,3
circle,2,1
changes,4,4
others,3,5
hand-held,2,1
tasks,2,1
edge,2,1
simplify,2,1
routines,2,1
staff,3,4
sequencing,2,1
operator,3,1
breakpoint,2,1
shops,3,1
doing,2,4
listing,2,8
illustrates,2,1
stock-trading,2,3
compensating,2,1
statistic,2,1
mills,2,2
blind,2,2
clothes,3,1
high-grade,2,1
wool,2,1
sweater,2,1
on-the-way,2,1
piston,2,1
chrysler,2,1
eliminating,3,1
25,2,1
leaving,2,3
44,2,1
limbo,2,1
retain,2,1
often,4,10
familar,2,1
carflow,2,1
names,2,1
bicycles,2,1
inquire,3,1
alfa,2,1
halt,2,3
begin,2,2
enlarge,2,1
shrink,2,1
cold,3,1
ins,2,1
apple,3,10
metric,2,1
tea,4,1
prior,2,1
fc,2,1
barcelona,2,1
plate,3,1
withdrawals,2,1
payables,2,1
ensue,2,1
ensures,2,2
grasp,2,2
efficiently,2,1
circulate,2,1
pov,2,1
cdc,2,1
lack,2,3
break,2,2
batches,2,1
maximum,2,1
fuel,3,1
flanges,3,1
outpatient,2,1
pharmacy,2,1
library,3,1
core,2,1
warehouse4,2,1
ton,2,2
t,2,1
greatly,2,1
past,2,9
gauze,3,1
saw,2,2
automotive,2,1
filters,2,1
again,2,5
mbsf,2,1
mat,2,1
doc,2,1
calculation,2,1
real,3,7
transaction,3,4
lots,2,2
garments,3,1
cabinet,2,2
completely,2,4
overage,2,1
arranging,2,1
sequence,2,1
apparatus,2,1
warranty,3,1
labelled,2,1
curve,2,1
graph,2,3
october,3,3
vw,2,2
briefly,2,2
drove,2,1
vw's,2,1
300,2,2
automatic,2,2
question,2,4
trace,2,1
end-to-end,2,1
ships,4,1
24,2,1
blend,3,1
relatively,2,2
inexpensive,2,1
organisations,2,1
hospitals,2,1
armed,2,1
forces,2,2
rfid,2,1
tags,2,1
fehk,2,1
sub-inventory,2,1
hasn't,2,1
offered,2,3
ipad,2,1
declined,2,2
comment,2,1
figures,2,1
auto,3,1
walkman,2,1
d,5,2
magazine,2,1
fix,2,1
regulation,2,2
suggests,2,2
sleep,2,1
allow,2,3
brain,2,1
flush,2,1
wastes,2,1
remain,2,2
filament,2,1
2-3,2,1
week,3,9
all-time,2,1
everything,2,7
respecting,2,1
light,2,1
touch,2,2
telephone,3,2
tool,4,5
everyday,2,1
otd,2,1
avoiding,2,2
advantage,2,4
re,2,1
getting,4,4
piled,3,1
apples,2,1
sort,2,1
double-click,2,2
unitsinstock,2,1
owner,2,6
t-shirts,2,1
quoted,2,3
lately,2,2
valid,2,2
managed,3,1
shipshape,5,1
six,3,4
shop-soiled,3,1
we're,2,2
can't,3,5
indicating,2,1
uc1,2,1
uc2,2,1
uc3,2,1
coordinator,3,1
accomplish,3,1
favor,2,2
seller,2,1
respect,2,2
seller's,2,1
exist,2,1
uncontrolled,2,1
burden,2,1
fabrics,4,1
sunscreen,2,1
blinds,2,1
tap,3,2
screw,2,1
pipe,3,1
interested,2,4
closeout,2,1
clearance,3,1
32,2,1
biggest,2,3
invoicing,2,1
easier,2,1
die,2,1
cast,2,1
m,2,1
makes,2,8
know,3,17
re-stock,3,1
on-site,2,1
2012,2,1
lotus,2,1
documents,2,2
designs,2,1
bright,2,2
groups,2,2
costing,2,2
secrete,2,1
firstly,2,1
winter,2,1
round,2,1
reserve,3,1
eventually,2,1
generally,2,2
abundant,2,1
causing,2,1
opportunities,2,2
rupture,2,1
sleeve,2,1
shirts,2,1
promptly,2,1
q,2,2
gr,2,1
project,5,2
expect,2,3
--,2,8
salespeople,2,1
insist,2,1
inadequate,2,1
hold-ups,2,1
failure,2,6
state,2,10
bureau,2,1
hello,2,1
belts,2,1
purses,2,1
cheap,2,5
2006,2,2
istockphoto's,2,1
contained,2,1
~1,2,1
contributed,2,1
23,2,2
000+,2,1
blendpanel's,2,1
startcolor,2,1
finishcolor,2,1
brown,2,1
sugar,2,1
themoment,2,1
expects,2,3
harmonic,2,1
era,2,1
entered,2,1
chance,2,4
drawings,2,1
mathematics,2,1
social,5,1
ham,2,1
kg,2,1
blendpanel,2,1
color,2,2
scrolls,2,1
10,2,8
80,3,3
mt,2,1
april,2,3
william,2,1
mohammad,2,1
himself,2,3
virgins,2,1
sizes,2,1
entries,2,1
720,2,1
pcs,2,1
impulsive,2,1
ex-stock,2,1
shanghai,2,7
estimated,2,1
arrival,2,1
belonging,2,2
solely,2,1
purpose,2,2
turns,2,2
ex-warehouse,2,1
floor,2,1
funded,2,1
ooo,2,1
disciplinary,2,1
leadership,2,1
chairing,2,1
guaranteeing,2,1
cooperation,5,1
improved,3,1
evolutionary,3,1
algorithm,4,1
optimization,9,1
join,3,1
intermediary,3,1
agent,61,1
energy,2,2
pharmaceutical,3,1
arts,10,1
crafts,5,1
periodical,3,1
literary,6,1
environmental,3,2
protection,3,1
sulfide,2,1
petroleum,2,1
wax,2,1
transport,13,1
toy,6,1
games,2,2
building,2,3
coordination,3,1
loading,2,1
unloading,2,1
trucks,2,1
determination,2,1
sequences,2,1
corresponding,2,3
finish,2,1
annually,2,1
polyester,2,1
live,2,1
slow,2,1
destocking,2,1
lean,2,1
joint,2,3
attend,2,1
auction,2,1
leasing,2,1
mortgage,2,5
consultation,2,1
finalize,2,1
television,5,1
co-publishing,5,1
stamping,2,1
binding,3,1
data's,2,1
integrated,6,2
stationery,4,1
incense,3,1
smoke,2,1
audited,2,1
stock-taking,3,1
sciences,4,1
audio,9,1
audio-visual,6,1
educational,3,1
classes,4,2
inactive,2,2
raising,2,3
sole,2,1
shoe,4,1
sports,3,1
education,2,3
joined,2,1
dummy,2,1
metallurgical,2,1
paperboard,3,1
software,3,8
ink,2,1
textiles,4,1
leather,5,2
hardware,2,1
establishing,2,1
null-,2,1
consumptive,2,1
coated,2,1
offset,2,2
corrugated,2,1
medium,2,1
cardboard,2,1
management's,2,1
countermeasure,2,1
steps,2,1
removal,2,2
posting,11,1
unrestricted,2,1
probing,2,1
administrative,2,1
deputy,2,1
timing,2,2
plastic,3,1
labels,3,1
culture,4,2
wood,2,1
pulp,2,1
writing,2,2
non-ferrous,3,1
alloy,2,1
waste,2,3
copper,4,1
farm,12,1
pesticide,2,1
fresh,4,2
excipients,2,1
capacitors,2,1
relays,2,1
signal,2,4
relay,2,1
instance,2,2
agglomerating,2,1
tv,5,2
pens,2,1
penholder,2,1
pen,2,1
container,2,1
opposed,2,2
auctioneers,2,1
finding,2,1
living,2,3
seldom,2,1
increases,3,2
specifications,2,2
safely,2,1
properly,2,1
organized,2,1
expressions,2,1
standing,2,1
agreement,2,1
billing,2,1
skills,2,1
dispose,2,1
dull,2,1
component,3,2
reach,2,3
inventorying,2,1
=,2,1
surface,2,1
cross-company,6,1
quota,2,1
customs,2,1
connection,2,1
multi-echelon,2,1
improving,2,1
step,4,2
semi-finished,3,1
headquarter,2,1
subsidiaries,2,1
agricultural,5,2
beans,3,1
nuts,5,1
dried,5,1
tactics,2,1
calligraphy,2,1
painting,3,1
craft,2,1
bamboo,2,1
rattan,2,1
reed,2,1
hay,2,1
stock's,3,14
supervision,2,2
women's,2,1
casual,2,1
fabric,3,1
series,3,8
hemp,2,1
diode,2,1
door,2,2
predicting,2,1
starch,2,1
sp_update_acct,2,1
reflect,2,4
coating,2,1
integrating,2,1
evaluations,2,1
price-sensitive,2,1
mushroom,2,1
gardening,3,1
closely,2,2
fuzzy,3,1
hierarchy,2,1
eastern,2,1
academy,2,1
programme,2,1
obsolescent,2,1
provision,2,1
uniforms,2,1
luggage,2,1
bags,2,1
tobacco,2,1
cigarette,2,1
relationship,2,7
resolvent,2,1
women,2,1
skirt,2,1
trousers,2,1
advertising,2,1
agency,3,2
casting,2,1
investors,2,66
deprive,2,1
him,2,12
hp,2,2
chips,2,1
semiconductors,2,1
brokers,2,7
operations,2,1
deleted,2,1
intelligent,2,1
refined,2,1
simulation,3,1
stochastic,4,1
drops,2,2
took,2,5
multilevel,2,1
transferring,2,2
presentation,2,1
reset,2,1
confused,2,1
ado,2,1
disappearance,2,1
always,2,10
physically,2,1
mineral,2,1
optical,3,1
camera,3,1
film,5,1
vcd,2,1
cd,2,1
warning,2,2
expiration,2,1
dates,2,1
veterinary,2,1
bioproducts,2,1
suggestion,2,1
weifang,2,1
increasingly,2,1
hot,2,2
rooms,2,1
numbers,2,3
hmsa-,2,1
contain,2,1
digit,2,1
utilitarian,2,1
calculating,2,1
batch,2,3
time-based,2,1
commonality,2,1
vegetable,3,1
oils,3,1
cooking,2,1
sign,2,5
received,2,3
two-level,2,1
recoverable,2,1
aerial,2,1
short-switching,2,1
rationing,2,1
single-stock,2,1
multi-demand,2,1
off-grade,2,1
scrapping,2,1
solutions,2,1
asc,2,1
materiel,3,1
multistage,2,1
giving,2,2
consolidation,2,1
repairable,2,1
compound,2,1
poisson,2,1
prediction,2,2
timber,2,1
south,2,4
collective,2,1
forestry,2,1
yard,2,1
investigation,2,1
stock-outs,2,1
posts,2,1
cargos,2,1
bonded,2,1
outward,2,1
cargo,2,1
pedigree,2,1
law,2,3
nuclear,2,1
advice,2,2
electric-coal,2,1
insufficiently,2,1
oem,2,1
aging,2,1
relevance,2,1
spare-parts,2,1
web,2,5
consideration,2,1
informationization,2,1
construction,2,1
gas,2,1
stations,2,1
consigned,2,1
evolution,2,1
chains,2,1
detail,2,1
reconciliation,3,1
visibility,2,1
identify,2,2
priorities,2,1
nonwovens,2,1
collapse,2,2
profile,2,1
closed-loop,2,1
neural,2,1
programming,2,1
elements,2,1
transfers,2,2
merging,2,1
lending,2,3
3-year,2,1
showing,2,2
nc,2,1
exploration,2,1
year-end,2,1
appraisement,2,1
trigger,2,1
carrefour,2,1
restoring,2,1
multigroup,2,1
parallel,2,1
genetic,2,1
choice,2,2
leisure,2,1
laboratory,2,1
infectious,2,1
discussing,2,1
index,2,26
sp_insert_trade,2,1
inserts,2,1
technique,2,1
square,2,2
theorem,2,1
withdrawal,2,2
entities,1,2
listed,1,26
exchanges,1,17
trader,1,6
singer,1,2
band,1,2
arbitrary,1,2
gives,1,6
articles,1,2
incorporation,1,2
effect,1,6
mind,1,2
fascinated,1,2
pile,1,2
driver,1,2
volatile,1,6
deeply,1,2
undervalued,1,4
rendering,1,2
investment,1,29
tricky,1,2
investing,1,8
role,1,8
ethics,1,2
play,1,8
selections,1,2
taxable,1,2
income,1,8
fifteen,1,2
thousand,1,2
dollars,1,8
five,1,11
personal,1,2
gold,1,5
easy,1,8
family's,1,2
investments,1,8
word,1,3
man,1,5
street,1,7
enters,1,3
wooed,1,2
real-estate,1,3
tracker,1,3
zillow,1,2
inc,1,4
one-letter,1,2
symbol,1,11
matter,1,8
tanking,1,2
economy,1,16
up-and-down,1,2
ever,1,4
unemployment,1,3
doom,1,2
gloom,1,2
leaves,1,5
broke,1,2
depressed,1,3
counter-cyclical,1,2
strong,1,8
chang,1,2
microsoft,1,6
picks,1,4
conviction,1,3
surprise,1,3
world,1,15
conversely,1,2
greatest,1,3
beneficiaries,1,3
rocketing,1,3
internet,1,4
1990s,1,4
seem,1,5
nan,1,2
sheng,1,2
banking,1,7
analyst,1,4
uob,1,2
kayhian,1,2
incentive,1,9
succeed,1,2
concept,1,2
pride,1,2
goes,1,11
trailing,1,2
wake,1,2
stream,1,3
regrets,1,2
latest,1,4
doings,1,2
selecting,1,2
news,1,13
quote,1,12
mr,1,22
buffett's,1,2
drive,1,2
caboose,1,2
agencies,1,4
explanation,1,3
tuesday's,1,2
plunge,1,2
today's,1,2
run-up,1,2
leveraged,1,2
recapitalization,1,2
increasing,1,2
stake,1,2
casino,1,6
p&g's,1,2
looks,1,5
ugly,1,2
duckling,1,2
rest,1,7
topic-,1,2
gambling,1,2
missing,1,2
bubbles,1,3
decade,1,6
instrument,1,4
converted,1,4
shareholders,1,14
weeks,1,5
seen,1,7
cut,1,4
continuing,1,3
head,1,7
hoped,1,4
hiring,1,2
underwrite,1,2
bond,1,22
strength,1,6
argue,1,3
prototype,1,2
critical,1,3
liquidity,1,6
individual,1,10
mutual,1,6
allows,1,4
immense,1,2
fortune,1,8
recruited,1,2
generous,1,2
grants,1,3
hires,1,2
impossible,1,2
electricity,1,2
promised,1,2
dismiss,1,2
byd,1,2
darling,1,2
ahead,1,4
deposit,1,5
urban,1,2
rural,1,2
dweller,1,2
present,1,6
national,1,3
buffett,1,10
meaningful,1,2
happening,1,2
java,1,2
elected,1,2
xi,1,2
pan,1,2
fall,1,7
ago,1,11
cautious,1,2
executives,1,9
slash,1,2
spending,1,4
repurchases,1,5
despicable,1,2
previous,1,5
imagine,1,3
house,1,5
professor,1,2
ariely,1,2
interview,1,2
somebody,1,3
i've,1,4
sounds,1,2
oblige,1,2
reply,1,2
rates,1,9
wall,1,5
journal,1,3
dow,1,5
jones,1,3
newswires,1,2
publishing,1,2
newsthat,1,2
moves,1,3
university,1,3
whose,1,4
exchange,1,73
invest,1,12
savings,1,3
paid,1,5
contingent,1,2
meaning,1,3
won't,1,2
hits,1,3
difficulties,1,2
indication,1,3
choose,1,3
svg,1,2
php,1,3
bit,1,4
graphing,1,2
opt,1,2
convert,1,3
euro-denominated,1,2
debts,1,4
claims,1,3
stronger,1,3
currency,1,9
opening,1,2
1m,1,2
interest,1,16
fannie,1,3
mae's,1,2
surprising,1,2
titanic,1,2
dividends,1,7
marketplace,1,2
wagered,1,2
gates,1,2
away,1,5
invester,1,2
remember,1,4
greedy,1,2
ordos,1,2
revealed,1,3
objects,1,4
applications,1,6
non-public,1,3
sfc,1,2
smashing,1,2
piece,1,5
institutional,1,3
investortakingnotice,1,2
skyrocket,1,2
played,1,2
active,1,2
especial,1,2
began,1,6
messages,1,3
asking,1,3
worry,1,3
euro,1,3
zone,1,2
global,1,9
interconnected,1,2
frontier,1,3
illiquid,1,3
difficult,1,5
bad-performing,1,2
far,1,6
wiping,1,2
resona's,1,2
quadrupled,1,2
12,1,4
japanese,1,5
sector,1,5
reality,1,2
larger,1,4
motivation,1,4
tradable,1,2
e,1,2
liquid,1,2
knows,1,2
absolute,1,5
bottom,1,8
shouldn't,1,2
trying,1,7
guess,1,2
cultivated,1,2
yunnan,1,2
grafting,1,2
pear,1,2
cultivars,1,2
jal,1,2
broker,1,16
goodies,1,2
fares,1,2
commodity,1,8
bankers,1,5
influxes,1,2
nature,1,3
[stock,1,2
market],1,2
bubble,1,4
fogies,1,2
psychological,1,3
aig's,1,2
york,1,16
paris,1,3
switzerland,1,2
tokyo,1,8
enron,1,4
blame,1,2
her,1,9
diversify,1,3
seek,1,2
private,1,6
complicating,1,2
employee,1,6
channel,1,2
dominoes,1,2
face,1,7
downwards,1,3
drow,1,2
stands,1,3
front,1,4
taught,1,3
ticker,1,5
wiggles,1,3
none,1,3
true,1,6
kill,1,3
hadn't,1,3
ended,1,4
remains,1,4
suspended,1,3
nevertheless,1,3
earning,1,2
ratio,1,5
done,1,5
package,1,3
mostly,1,4
conservative,1,2
mix,1,3
pitfalls,1,2
risky,1,5
vest,1,3
taxpayers,1,2
repaid,1,3
portion,1,4
august,1,3
220,1,2
interim,1,2
gm,1,6
chairman,1,3
kent,1,2
kresa,1,2
government's,1,2
willingness,1,3
loans,1,7
contemporary,1,2
art,1,2
voting,1,5
weighing,1,2
exercisers,1,2
miss,1,2
tips,1,2
pounded,1,2
treadmill,1,2
regulators,1,4
march,1,4
failed,1,3
filings,1,2
sec,1,2
journalists,1,2
portal,1,4
users,1,3
remotely,1,2
hosted,1,2
plot,1,2
consists,1,2
separate,1,3
wsxl,1,2
author,1,2
included,1,4
numerous,1,3
charts,1,2
tables,1,2
attempt,1,5
paint,1,2
institutions,1,3
facing,1,3
entry,1,3
conference,1,2
seems,1,6
afraid,1,2
lloyd's,1,2
competitors,1,3
desire,1,3
invested,1,4
teamed,1,2
publicly,1,4
traded,1,9
banks,1,15
rewarded,1,3
senior,1,3
amounts,1,2
rbs,1,2
bonuses,1,4
equity,1,14
refers,1,7
variant,1,2
prefer,1,2
barring,1,2
cashing,1,2
age,1,3
65,1,2
retirement,1,2
sokol's,1,2
resignation,1,3
believed,1,2
weren't,1,2
unlawful,1,2
expert,1,2
lucky,1,3
speculation,1,4
life,1,3
sitting,1,2
grandpa's,1,2
dividend-paying,1,2
fine,1,3
approach,1,5
goal,1,4
preserve,1,2
wealth,1,11
spiral,1,2
flee,1,2
partners,1,3
disappear,1,2
dave,1,2
start-up,1,2
bob,1,2
worked,1,3
salary,1,6
folded,1,2
zip,1,2
third-largest,1,2
lender,1,2
mainland,1,4
stockmarket,1,2
long-awaited,1,3
yahoo,1,5
calls,1,5
appeared,1,2
adding,1,2
indirect,1,3
watchers,1,2
concern,1,3
similar,1,3
worries,1,4
gleaned,1,2
looking,1,7
volatility,1,17
curves,1,2
considered,1,5
indicator,1,5
trend,1,7
sectors,1,4
ghriskey,1,2
h-p,1,3
strategic,1,2
shift,1,2
wasn't,1,3
anywhere,1,2
pocket,1,2
sometimes,1,3
air-pocket,1,2
ceo's,1,2
serious,1,4
illness,1,2
death,1,3
tends,1,4
legitimacy,1,2
flexibility,1,2
redemption,1,2
china's,1,10
ble,1,2
swelled,1,2
feel,1,3
sinking,1,2
raised,1,7
950,1,2
january,1,3
85,1,2
cents,1,2
dollar,1,7
went,1,12
mason,1,2
insiders,1,3
starting,1,2
developed-world,1,2
pumped,1,2
selfsame,1,2
papers,1,2
gain,1,6
technological,1,2
ground,1,2
asian,1,10
rally,1,4
tumbled,1,3
concerns,1,3
player,1,2
obliged,1,2
stones,1,2
likes,1,5
tracing,1,2
excluded,1,2
secondary,1,4
ipos,1,3
considerable,1,2
gains,1,5
downtrend,1,3
massive,1,4
crash,1,3
declines,1,9
precipitously,1,2
particularly,1,5
lawsuit,1,2
almost,1,7
ultimately,1,2
rests,1,2
flows,1,2
response,1,3
up-to-the-minute,1,3
quotes,1,3
mobile,1,2
palmtop,1,2
closed,1,7
spillover,1,3
exists,1,2
extrapolate,1,2
splits,1,3
inclined,1,2
theoretical,1,4
earnings,1,13
typical,1,2
bondholder,1,4
option,1,22
explained,1,5
priced,1,4
ownership,1,15
woman,1,2
surnamed,1,2
wang,1,2
correction,1,2
runaway,1,2
fearful,1,2
reaching,1,2
positive,1,3
slightly,1,3
dark,1,2
aside,1,2
provisions,1,2
guarantees,1,2
itching,1,2
isn't,1,10
academic,1,2
witnessed,1,3
startling,1,2
driven,1,3
fear,1,6
nor,1,6
experts,1,2
winner,1,2
pair,1,3
exaltation,1,2
attraction,1,2
land,1,2
note,1,4
munster,1,2
opportunity,1,3
good-to-great,1,2
except,1,3
biology,1,2
mathematical,1,3
calculational,1,2
united,1,6
states,1,6
olympus's,1,2
yesterday,1,6
surged,1,2
third,1,4
amid,1,2
confidence,1,4
delisted,1,3
comes,1,7
vc,1,2
greed,1,2
startup,1,2
outweighs,1,2
regardless,1,2
he's,1,2
advisors,1,2
remained,1,2
upheaval,1,2
downward,1,5
punctuated,1,2
events,1,5
11-percent,1,2
oct,1,2
america,1,2
leader,1,4
regained,1,2
mobility,1,2
grown,1,3
itch,1,2
rich,1,5
mature,1,3
billions,1,3
pulling,1,2
tumbling,1,3
compaq,1,2
tailspin,1,2
bog,1,2
underwriter,1,2
stock-and-bond,1,2
seeks,1,2
tarp,1,2
acquired,1,2
duncan,1,2
ranch,1,2
wife,1,3
jan,1,3
valued,1,3
millions,1,3
smart,1,4
maybe,1,2
occurred,1,3
rating,1,4
plunges,1,2
century,1,2
truly,1,3
macro-economy,1,3
categories,1,2
speculative,1,3
fate,1,2
brady,1,2
written,1,3
college,1,2
berkshire,1,3
yg,1,2
entertainment's,1,2
teenagers,1,2
score,1,2
favorite,1,2
boy,1,2
band's,1,2
calculated,1,2
broad-based,1,2
indexes,1,3
horrendous,1,2
nothing,1,4
lose,1,5
mister,1,2
kerviel,1,2
hide,1,3
bet,1,4
rising,1,2
depend,1,3
sound,1,2
alone,1,3
quit,1,3
stick,1,3
ones,1,3
baosteel,1,2
largest,1,5
steelmaker,1,2
state-owned,1,3
launch,1,3
shareholder,1,4
rather,1,7
de,1,2
la,1,3
torre,1,2
indices,1,6
adjustments,1,2
repurchase(stock,1,2
buyback)is,1,2
resulting,1,2
popped,1,2
raft,1,2
ipo-eve,1,2
roller,1,2
coaster,1,2
beach,1,2
pacific,1,3
highest,1,2
singapore,1,2
formation,1,3
commonly,1,3
referred,1,2
encourages,1,2
everyone,1,4
rival,1,2
worthless,1,5
corporate,1,3
you're,1,4
outpace,1,2
long-,1,2
inflation,1,4
regarded,1,2
originator,1,2
securities,1,10
bacome,1,2
devaluated,1,2
ipo's,1,2
underwriters,1,7
hoping,1,2
begins,1,4
critics,1,2
exploits,1,2
long-established,1,2
stock-picking,1,3
region's,1,6
economies,1,3
comparative,1,2
unifies,1,2
relativity,1,2
non-reporting,1,2
clive,1,2
eyes,1,2
philosophical,1,2
inevitable,1,3
stories,1,3
app,1,2
details,1,3
highs,1,3
lows,1,3
walk,1,2
leading,1,4
prospects,1,5
kmart,1,2
crawled,1,2
bankruptcy,1,3
2003,1,2
jump,1,4
thanks,1,4
lampert's,1,2
airports,1,2
cowed,1,2
steve,1,2
killing,1,2
shine,1,2
valuations,1,5
proved,1,2
false,1,2
cow,1,2
hen,1,2
eggs,1,2
central,1,4
nasdaq,1,10
derivatives,1,3
cambodia,1,3
arguably,1,3
bourse,1,4
inthe,1,2
emerging,1,4
fluctuation,1,4
fierce,1,2
obligation,1,2
reckons,1,2
tenth,1,2
fail-to-deliver,1,2
jane,1,2
cap,1,2
suggested,1,2
loyalty,1,2
cover,1,3
integration,1,2
meant,1,2
rarely,1,3
encounter,1,2
globe,1,2
major,1,8
suffering,1,2
crunch,1,2
arising,1,2
sub-prime,1,2
stock-brokers,1,3
corner,1,2
barber,1,2
purposed,1,2
catch,1,2
weasel,1,2
asleep,1,2
proposed,1,3
korea's,1,3
dropped,1,3
north,1,2
media,1,3
country's,1,2
kim,1,2
jong-il,1,2
died,1,2
reforming,1,2
pillars,1,2
dll,1,2
considers,1,2
empirical,1,5
funk,1,2
stock-,1,2
steadily,1,2
reviving,1,2
seize,1,2
acquiring,1,2
majority,1,3
estate,1,4
borrowed,1,7
enticing,1,2
interminable,1,2
download,1,2
metastock,1,2
text,1,3
format,1,2
pickstock,1,2
sufficiently,1,2
michael,1,2
adolf,1,2
fees,1,4
commission,1,5
wednesday,1,5
wine,1,2
cheese,1,2
mixer,1,2
all-hands,1,2
talk,1,2
cachet,1,2
best-known,1,2
domestic,1,4
brands,1,2
helped,1,6
outperform,1,4
member,1,2
dispute,1,2
candidate,1,2
picked,1,2
intel,1,3
appears,1,4
cougar,1,2
exclusivity,1,2
shirakawa,1,2
watch,1,4
golden,1,6
sunlight,1,2
pond,1,2
letter,1,3
sunshine,1,2
up-to-date,1,3
pool,1,2
bank's,1,4
malaysian,1,2
battered,1,2
melt-down,1,2
neighboring,1,2
thailand,1,2
bill,1,3
adventure,1,2
temporarily,1,3
ten,1,4
diversification,1,2
washout,1,2
perfectly,1,4
correlated,1,2
russian,1,3
algorithmic,1,2
entering,1,4
gets,1,4
trampled,1,2
flat,1,3
stampeding,1,2
historical,1,2
consumer,1,5
provider,1,3
indicated,1,3
gimmick,1,2
illustrated,1,2
instruction,1,2
bellwether,1,2
instrumentconsidered,1,2
overalltrend,1,2
gave,1,2
hedge,1,6
represented,1,4
sse,1,3
topic,1,4
debate,1,2
non-system,1,2
possession,1,2
single,1,6
bonus,1,2
indeed,1,4
worth,1,12
330,1,2
563,1,2
laptop,1,2
patient,1,2
bowel,1,2
